II,0,0,0,5,0,2,1,0,0,0,0,5
II,6,0,0,0,0,3,1,0,0,0,0,6
II,0,0,3,2,2,1,1,0,0,0,0,7
II,0,0,1,4,2,2,1,0,0,0,0,7
II,2,3,0,3,0,1,1,0,0,0,0,8
II,0,0,0,5,3,2,1,0,0,0,0,8
II,0,5,0,0,0,2,0,1,0,0,0,5
II,0,6,0,0,0,3,0,1,0,0,0,6
II,0,2,2,3,0,1,0,1,0,0,0,7
II,2,0,0,1,4,2,0,1,0,0,0,7
II,0,2,3,0,3,1,0,1,0,0,0,8
II,5,3,0,0,0,2,0,1,0,0,0,8
II,0,0,5,0,0,2,0,0,1,0,0,5
II,0,0,6,0,0,3,0,0,1,0,0,6
II,2,3,0,0,2,1,0,0,1,0,0,7
II,3,0,2,3,0,1,0,0,1,0,0,8
II,4,2,0,0,1,2,0,0,1,0,0,7
II,0,5,3,0,0,2,0,0,1,0,0,8
II,0,0,0,0,5,2,0,0,0,1,0,5
II,0,0,0,6,0,3,0,0,0,1,0,6
II,2,0,0,2,3,1,0,0,0,1,0,7
II,1,4,2,0,0,2,0,0,0,1,0,7
II,0,3,0,2,3,1,0,0,0,1,0,8
II,3,0,0,0,5,2,0,0,0,1,0,8
II,5,0,0,0,0,2,0,0,0,0,1,5
II,0,0,0,0,6,3,0,0,0,0,1,6
II,3,2,2,0,0,1,0,0,0,0,1,7
II,0,1,4,2,0,2,0,0,0,0,1,7
II,3,0,3,0,2,1,0,0,0,0,1,8
II,0,0,5,3,0,2,0,0,0,0,1,8
